GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSignOutRoute,4,66,0,6,2,21,0,5,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostBackupMove,0,43,0,2,0,11,0,3,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetGameRoute,74,370,10,28,22,71,10,12,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetHomeRoute,13,180,4,12,5,36,4,7,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostResignGame,0,105,0,4,0,27,0,4,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,WebServer,113,0,0,0,22,0,3,0,3,0
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostTurnCheck,0,82,0,8,0,16,0,6,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostMoveCheck,0,154,1,13,0,32,1,8,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,GetSigninRoute,0,47,0,0,0,11,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSignInRoute,4,75,0,4,2,20,0,4,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.ui,PostSubmitTurn,0,55,0,4,0,13,0,4,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.model,Position,0,15,0,0,0,6,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model,CheckMove,42,1206,27,179,8,206,25,89,0,11
Web Checkers a'la Spark/Java8,com.webcheckers.model,PlayerBoard,2,125,1,5,1,29,1,11,0,9
Web Checkers a'la Spark/Java8,com.webcheckers.model,ModelBoard,52,662,7,45,11,138,8,45,1,26
Web Checkers a'la Spark/Java8,com.webcheckers.model,Move,0,31,0,0,0,10,0,7,0,7
Web Checkers a'la Spark/Java8,com.webcheckers.model,Player,0,51,0,4,0,16,0,11,0,9
Web Checkers a'la Spark/Java8,com.webcheckers.model,Space,1,120,3,19,0,35,3,22,0,14
Web Checkers a'la Spark/Java8,com.webcheckers.model,Message,0,15,0,0,0,6,0,3,0,3
Web Checkers a'la Spark/Java8,com.webcheckers.model,Piece.Type,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,Piece,0,69,0,8,0,18,0,15,0,11
Web Checkers a'la Spark/Java8,com.webcheckers.model,Space.Color,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,CheckSignin,0,69,3,19,0,13,3,10,0,2
Web Checkers a'la Spark/Java8,com.webcheckers.model,Message.Type,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,Piece.Color,0,24,0,0,0,2,0,1,0,1
Web Checkers a'la Spark/Java8,com.webcheckers.model,Row,0,270,4,28,0,53,4,22,0,10
Web Checkers a'la Spark/Java8,com.webcheckers,Application,77,0,0,0,23,0,4,0,4,0
Web Checkers a'la Spark/Java8,com.webcheckers.appl,PlayerLobby,0,126,0,14,0,30,0,14,0,7
Web Checkers a'la Spark/Java8,com.webcheckers.appl,GameLobby,0,237,0,20,0,68,0,36,0,26
